Season,NAT,Club_Name,TSR,STR,PDO,Pass_Success,Possesion,Team_Value,AGE,FPPsq,Country Score,Rating,Pts
145,1112,FRA,Auxerre,0.53243,0.53257,1000.269,0.723548,0.485484,1.14,23.1,0.536585366,53.678,6.73,16.835
146,1112,FRA,Toulouse,0.507649,0.57818,1050.635,0.74,0.507,2.95,22,0.363636364,53.678,6.91,19.835
147,1112,FRA,Rennes,0.518177,0.525091,959.7611,0.757097,0.526129,2.25,22.9,0.709677419,53.678,6.87,19.835
148,1112,FRA,Sochaux,0.501541,0.457985,954.24,0.766,0.528,1.65,22.6,0.558823529,53.678,6.69,14.335
149,1011,FRA,Lyon,0.578248,0.564338,986.7301,0.765,0.558158,7.25,23.1,0.448275862,53.71,6.81,92.735
150,1011,FRA,Marseille,0.584624,0.610782,965.0689,0.761842,0.532105,5.29,25.1,0.588235294,53.71,6.9,68.735
151,1011,FRA,Bordeaux,0.585074,0.555565,920.0292,0.760263,0.547105,4.18,23.8,0.485714286,53.71,6.82,67.735
152,1011,FRA,Paris Saint,0.53638,0.581563,997.7785,0.756316,0.492368,3.68,25.4,0.448275862,53.71,6.83,51.735
153,1011,FRA,Lille,0.582417,0.567283,1061.472,0.792105,0.576053,3.62,24.2,0.535714286,53.71,6.91,40.735
154,1011,FRA,Saint-Etienne,0.476424,0.50242,919.1938,0.759474,0.490526,2.7,23.8,0.46875,53.71,6.75,25.735
155,1011,FRA,Nancy,0.539855,0.534945,845.3748,0.719737,0.497895,2.52,30,0.5,53.71,6.88,25.735
156,1011,FRA,Auxerre,0.459466,0.529296,885.5472,0.727105,0.437895,2.25,23.3,0.5,53.71,6.78,23.735
157,1011,FRA,Lens,0.481664,0.440339,889.0455,0.716053,0.463421,1.55,23.7,0.512820513,53.71,6.76,22.735
158,1011,FRA,Toulouse,0.489444,0.497507,966.0088,0.731842,0.511579,1.96,22.9,0.5,53.71,6.79,19.735
159,1011,FRA,Rennes,0.48711,0.473732,1000.397,0.767895,0.519737,1.23,22.7,0.515151515,53.71,6.82,16.735
160,1011,FRA,Sochaux,0.434808,0.459647,1049.238,0.777632,0.501842,1.48,23.1,0.466666667,53.71,6.88,12.735
161,910,FRA,Bordeaux,0.565348,0.574083,1020.092,0.798158,0.585526,4.24,24.6,0.448275862,50.168,6.82,40.033
162,910,FRA,Lyon,0.564939,0.509503,1151.368,0.77,0.567105,4.75,22.6,0.486486487,50.168,7.06,96.748
163,910,FRA,Marseille,0.626757,0.664596,960.7143,0.772895,0.56,4.97,25.1,0.5625,50.168,7.02,62.748
164,910,FRA,Lille,0.590713,0.624991,997.7994,0.754737,0.552632,2.57,23.6,0.4375,50.168,6.96,46.748
165,910,FRA,Toulouse,0.512113,0.517944,915.251,0.753784,0.513784,1.58,22.8,0.4,50.168,6.85,19.748
166,910,FRA,Paris Saint,0.503332,0.536397,879.9356,0.752895,0.492895,3.41,25.7,0.407407407,50.168,6.8,39.748
